dayStart,duration,elev,Duration in Days
2013-11-29,1.0,5.53,0.0
2013-12-01,9.0,6.73,0.0
2013-12-12,5.0,6.07,0.0
2013-12-22,8.0,8.18,0.0
2014-02-09,4.0,9.47,0.0
2014-03-07,1.0,9.95,0.0
2014-03-09,5.0,9.95,0.0
2014-05-12,6.0,9.54,0.0
2014-06-09,7.0,9.76,0.0
2014-06-20,1.0,5.04,0.0
2014-07-02,4.0,5.61,0.0
2014-07-10,3.0,5.12,0.0
2014-07-16,3.0,5.54,0.0
2014-07-24,4.0,5.28,0.0
2014-07-30,10.0,5.1,0.0
2014-08-16,1.0,5.11,0.0
2014-08-20,6.0,5.99,0.0
2014-08-28,4.0,5.15,0.0
2014-09-03,7.0,5.39,0.0
2014-09-12,4.0,9.53,0.0
2014-09-17,5.0,6.5,0.0
2014-09-24,3.0,5.49,0.0
2014-10-16,1.0,8.24,0.0
2014-10-19,9.0,9.34,0.0
2014-11-27,3.0,7.03,0.0
2014-12-04,2.0,6.87,0.0
2014-12-14,11.0,9.57,0.0
2015-01-05,1.0,9.62,0.0
2015-01-12,1.0,9.96,0.0
2015-01-26,3.0,8.95,0.0
2015-02-07,5.0,9.76,0.0
2015-02-13,3.0,5.16,0.0
2015-02-17,12.0,7.32,0.0
2015-03-23,1.0,9.94,0.0
2015-03-31,2.0,9.85,0.0
2015-05-11,7.0,9.81,0.0
2015-06-17,2.0,5.53,0.0
2015-06-25,5.0,5.36,0.0
2015-07-03,3.0,5.36,0.0
2015-07-09,1.0,7.41,0.0
2015-07-11,9.0,9.51,0.0
2015-07-21,3.0,5.29,0.0
2015-08-06,1.0,5.11,0.0
2015-08-13,1.0,5.17,0.0
2015-08-28,1.0,5.34,0.0
2015-09-26,1.0,5.54,0.0
2015-09-30,4.0,5.86,0.0
2015-10-23,3.0,9.2,0.0
2015-10-28,5.0,6.24,0.0
2015-11-03,1.0,8.1,0.0
2016-04-18,19.0,9.1,0.0
2016-06-19,5.0,8.64,0.0
2016-06-27,1.0,7.71,0.0
2016-07-04,9.0,7.7,0.0
2016-07-24,7.0,8.87,0.0
2016-08-02,5.0,6.85,0.0
2016-08-11,1.0,9.17,0.0
2016-08-13,2.0,8.77,0.0
2016-08-16,6.0,5.83,0.0
2016-08-23,6.0,5.51,0.0
2016-08-31,5.0,6.4,0.0
2016-09-09,3.0,5.72,0.0
2016-09-14,2.0,5.09,0.0
2016-09-21,1.0,6.73,0.0
2016-09-26,13.0,8.21,0.0
2016-11-01,12.0,9.64,0.0
2016-11-16,2.0,5.23,0.0
2016-12-09,17.0,5.69,0.0
2017-01-03,5.0,5.12,0.0
2017-01-12,3.0,9.86,0.0
2017-01-18,10.0,9.86,0.0
2017-02-10,8.0,9.28,0.0
2017-04-02,8.0,5.91,0.0
2017-04-16,10.0,9.8,0.0
2017-06-18,4.0,9.05,0.0
2017-07-03,6.0,9.81,0.0
2017-07-12,5.0,5.43,0.0
2017-07-29,2.0,5.45,0.0
2017-08-02,4.0,5.16,0.0
2017-08-11,2.0,5.21,0.0
2017-08-14,7.0,5.5,0.0
2017-08-23,4.0,5.17,0.0
2017-08-31,3.0,5.46,0.0
2017-09-07,3.0,5.52,0.0
2017-09-14,4.0,5.14,0.0
2017-09-22,2.0,5.53,0.0
2017-12-15,1.0,5.07,0.0
2018-02-01,2.0,6.53,0.0
2018-02-19,7.0,5.35,0.0
2018-02-28,6.0,6.52,0.0
2018-03-09,3.0,9.44,0.0
2018-03-25,8.0,5.37,0.0
2018-04-17,3.0,9.39,0.0
2018-05-16,2.0,9.47,0.0
2018-06-12,13.0,9.31,0.0
2018-06-27,5.0,6.03,0.0
2018-07-03,1.0,7.86,0.0
2018-07-07,2.0,9.92,0.0
2018-07-11,1.0,5.18,0.0
2018-07-18,2.0,6.44,0.0
2018-07-25,1.0,5.22,0.0
2018-07-28,4.0,5.68,0.0
2018-08-20,2.0,9.79,0.0
2018-08-24,3.0,9.48,0.0
2018-08-29,4.0,7.05,0.0
2018-09-06,2.0,5.61,0.0
2018-09-12,7.0,5.67,0.0
2019-05-26,17.0,9.52,0.0
2019-07-04,24.0,9.76,1.0
2019-07-30,7.0,6.0,0.0
2019-08-07,4.0,5.64,0.0
2019-08-14,4.0,7.25,0.0
2019-08-21,2.0,5.49,0.0
2019-08-24,2.0,5.2,0.0
2019-09-04,6.0,5.55,0.0
2019-09-24,2.0,5.14,0.0
2019-11-03,4.0,5.02,0.0
2019-11-17,7.0,9.4,0.0
