dayStart,duration,elev,Duration in Days
2014-01-03,26.0,,1.0
2014-01-31,2.0,,0.0
2014-02-24,7.0,,0.0
2014-03-15,2.0,,0.0
2014-03-21,1.0,,0.0
2014-04-13,13.0,,0.0
2014-05-02,7.0,,0.0
2014-05-26,6.0,,0.0
2015-04-24,7.0,,0.0
2015-10-05,14.0,,0.0
2015-11-13,24.0,,1.0
2015-12-25,87.0,,3.0
2016-05-11,23.0,,0.0
2016-10-09,20.0,,0.0
2017-01-29,9.0,,0.0
2017-04-27,25.0,,1.0
2017-05-25,18.0,,0.0
2017-06-23,8.0,,0.0
2018-04-29,12.0,,0.0
2018-05-22,17.0,,0.0
2018-08-06,6.0,,0.0
2018-09-21,146.0,,6.0
2019-02-19,34.0,,1.0
2019-04-01,13.0,,0.0
2019-04-21,11.0,,0.0
2019-06-17,13.0,,0.0
2020-02-07,27.0,,1.0
2020-05-02,11.0,,0.0
2020-05-28,46.0,,1.0
2020-09-26,3.0,,0.0
2020-10-23,3.0,,0.0
2020-11-04,80.0,,3.0
2021-01-30,44.0,,1.0
2021-03-23,26.0,,1.0
2022-03-31,2.0,,0.0
2022-12-26,2.0,,0.0
2023-01-06,3.0,,0.0
2023-02-04,2.0,,0.0
2023-02-19,7.0,,0.0
