dayStart,duration,elev,Duration in Days
2013-12-17,5.0,10.41,0.0
2013-12-30,4.0,10.13,0.0
2014-01-29,2.0,14.41,0.0
2014-02-02,7.0,13.06,0.0
2014-02-13,11.0,11.34,0.0
2014-03-03,4.0,14.09,0.0
2014-03-08,1.0,10.52,0.0
2014-03-14,1.0,14.21,0.0
2014-03-17,4.0,14.44,0.0
2014-03-22,22.0,14.77,0.0
2014-04-26,6.0,14.94,0.0
2014-05-09,3.0,14.15,0.0
2014-05-18,8.0,11.58,0.0
2014-06-01,8.0,14.71,0.0
2014-09-10,2.0,11.12,0.0
2014-10-17,2.0,10.75,0.0
2014-12-06,8.0,10.68,0.0
2014-12-25,11.0,12.6,0.0
2015-01-06,6.0,10.41,0.0
2015-01-13,13.0,10.9,0.0
2015-01-29,9.0,10.8,0.0
2015-03-01,22.0,11.42,0.0
2015-03-24,7.0,10.14,0.0
2015-04-02,22.0,10.19,0.0
2015-05-01,10.0,14.97,0.0
2015-07-10,1.0,10.04,0.0
2015-10-04,1.0,14.11,0.0
2015-10-19,4.0,14.35,0.0
2015-11-04,9.0,10.02,0.0
2015-12-07,18.0,14.69,0.0
2016-03-21,28.0,14.88,1.0
2016-05-07,4.0,10.5,0.0
2016-06-03,16.0,14.55,0.0
2016-06-28,6.0,10.49,0.0
2016-07-13,11.0,10.91,0.0
2016-08-12,1.0,11.5,0.0
2016-09-22,4.0,10.02,0.0
2016-10-29,3.0,14.82,0.0
2017-01-08,4.0,11.17,0.0
2017-01-15,3.0,10.13,0.0
2017-01-28,1.0,12.41,0.0
2017-02-07,3.0,13.18,0.0
2017-04-10,6.0,10.31,0.0
2017-04-26,1.0,14.11,0.0
2017-05-22,3.0,14.76,0.0
2017-06-12,6.0,14.45,0.0
2017-06-22,1.0,13.63,0.0
2017-07-01,2.0,14.99,0.0
2018-03-06,3.0,12.72,0.0
2018-04-02,15.0,10.31,0.0
2018-04-20,9.0,11.01,0.0
2018-05-11,5.0,14.84,0.0
2018-05-18,4.0,10.43,0.0
2018-06-08,4.0,14.77,0.0
2018-07-04,3.0,10.6,0.0
2018-08-01,5.0,10.18,0.0
2018-08-12,8.0,12.92,0.0
2018-08-22,2.0,10.23,0.0
2018-09-19,2.0,12.76,0.0
2019-02-14,5.0,14.95,0.0
2019-03-25,7.0,14.94,0.0
2019-04-14,7.0,14.86,0.0
2019-05-02,24.0,14.98,1.0
2019-06-12,5.0,10.28,0.0
2019-06-30,4.0,14.41,0.0
2019-11-07,10.0,12.27,0.0
2019-12-08,22.0,10.44,0.0
2020-01-11,16.0,10.6,0.0
2020-01-31,7.0,12.14,0.0
2020-03-05,5.0,14.34,0.0
2020-03-28,14.0,10.58,0.0
2020-04-14,18.0,11.11,0.0
2020-05-13,15.0,14.37,0.0
2020-07-13,4.0,14.95,0.0
2020-08-05,4.0,13.31,0.0
2020-08-12,5.0,13.16,0.0
2020-08-22,22.0,10.27,0.0
2020-09-16,1.0,10.54,0.0
2020-09-18,8.0,10.16,0.0
2020-09-29,14.0,14.7,0.0
2020-10-16,7.0,12.4,0.0
2020-10-26,9.0,14.26,0.0
2021-01-23,7.0,14.82,0.0
2021-03-15,8.0,14.93,0.0
2021-04-18,17.0,14.73,0.0
2021-06-12,7.0,10.58,0.0
2021-06-23,1.0,10.39,0.0
2021-07-08,2.0,10.28,0.0
2021-07-16,1.0,10.38,0.0
2021-07-28,3.0,10.32,0.0
2021-08-26,2.0,10.03,0.0
2022-01-05,1.0,10.5,0.0
2022-01-09,5.0,10.65,0.0
2022-01-18,3.0,10.17,0.0
2022-03-02,3.0,10.06,0.0
2022-03-13,18.0,10.42,0.0
2022-04-02,8.0,14.96,0.0
2022-05-28,17.0,10.38,0.0
2022-12-16,10.0,10.24,0.0
2022-12-28,9.0,14.79,0.0
2023-01-09,2.0,13.17,0.0
2023-01-13,7.0,11.3,0.0
2023-01-22,13.0,10.62,0.0
2023-02-06,7.0,13.97,0.0
2023-02-16,3.0,11.96,0.0
2023-02-26,3.0,14.06,0.0
2023-04-27,18.0,10.82,0.0
2023-06-27,6.0,10.15,0.0
2023-07-21,3.0,11.04,0.0
2023-07-28,2.0,10.27,0.0
