Reading,Receive,Value,Unit,Data Quality
2020-12-31 23:38:06,2020-12-31 23:38:21,0.61,ft,A
2020-12-31 23:23:05,2020-12-31 23:23:20,0.63,ft,A
2020-12-31 23:08:10,2020-12-31 23:08:25,0.74,ft,A
2020-12-31 22:29:06,2020-12-31 22:29:21,0.69,ft,A
2020-12-31 22:08:02,2020-12-31 22:08:17,0.59,ft,A
2020-12-31 21:38:03,2020-12-31 21:38:18,0.56,ft,A
2020-12-31 21:08:06,2020-12-31 21:08:21,0.56,ft,A
2020-12-31 20:38:08,2020-12-31 20:38:57,0.46,ft,A
2020-12-31 20:08:03,2020-12-31 20:08:18,0.53,ft,A
2020-12-31 19:38:08,2020-12-31 19:38:23,0.53,ft,A
2020-12-31 19:08:11,2020-12-31 19:08:28,0.56,ft,A
2020-12-31 18:38:08,2020-12-31 18:38:23,0.57,ft,A
2020-12-31 18:08:06,2020-12-31 18:08:56,0.62,ft,A
2020-12-31 17:38:11,2020-12-31 17:38:26,0.59,ft,A
2020-12-31 17:08:04,2020-12-31 17:08:20,0.6,ft,A
2020-12-31 16:38:02,2020-12-31 16:38:17,0.56,ft,A
2020-12-31 16:08:06,2020-12-31 16:08:21,0.62,ft,A
2020-12-31 15:54:08,2020-12-31 15:54:23,0.58,ft,A
2020-12-31 15:38:05,2020-12-31 15:38:20,0.48,ft,A
2020-12-31 15:08:07,2020-12-31 15:08:22,0.47,ft,A
2020-12-31 15:05:10,2020-12-31 15:05:25,0.49,ft,A
2020-12-31 14:38:08,2020-12-31 14:38:23,0.59,ft,A
2020-12-31 14:20:04,2020-12-31 14:20:19,0.52,ft,A
2020-12-31 14:08:10,2020-12-31 14:08:25,0.42,ft,A
2020-12-31 14:07:06,2020-12-31 14:07:21,0.41,ft,A
2020-12-31 13:38:05,2020-12-31 13:38:20,0.3,ft,A
2020-12-31 13:15:04,2020-12-31 13:15:19,0.32,ft,A
2020-12-31 13:08:10,2020-12-31 13:08:25,0.43,ft,A
2020-12-31 13:01:04,2020-12-31 13:01:19,0.53,ft,A
2020-12-31 12:38:08,2020-12-31 12:38:24,0.63,ft,A
2020-12-31 12:24:10,2020-12-31 12:24:25,0.59,ft,A
2020-12-31 12:16:03,2020-12-31 12:16:17,0.49,ft,A
2020-12-31 12:08:08,2020-12-31 12:08:23,0.39,ft,A
2020-12-31 12:05:11,2020-12-31 12:05:26,0.35,ft,A
2020-12-31 11:38:05,2020-12-31 11:38:20,0.24,ft,A
2020-12-31 11:08:08,2020-12-31 11:08:23,0.21,ft,A
2020-12-31 10:38:10,2020-12-31 10:38:25,0.24,ft,A
2020-12-31 10:28:11,2020-12-31 10:28:26,0.28,ft,A
2020-12-31 10:08:03,2020-12-31 10:08:18,0.39,ft,A
2020-12-31 09:38:05,2020-12-31 09:38:20,0.34,ft,A
2020-12-31 09:08:08,2020-12-31 09:08:23,0.26,ft,A
2020-12-31 08:38:10,2020-12-31 08:38:26,0.33,ft,A
2020-12-31 08:08:03,2020-12-31 08:08:18,0.32,ft,A
2020-12-31 07:38:06,2020-12-31 07:38:21,0.38,ft,A
2020-12-31 07:08:08,2020-12-31 07:08:24,0.4,ft,A
2020-12-31 06:38:11,2020-12-31 06:38:26,0.42,ft,A
2020-12-31 06:08:04,2020-12-31 06:08:19,0.5,ft,A
2020-12-31 05:38:06,2020-12-31 05:38:22,0.45,ft,A
2020-12-31 05:08:09,2020-12-31 05:08:24,0.38,ft,A
2020-12-31 05:04:10,2020-12-31 05:04:25,0.35,ft,A
2020-12-31 04:55:11,2020-12-31 04:55:26,0.24,ft,A
2020-12-31 04:38:07,2020-12-31 04:38:22,0.14,ft,A
2020-12-31 04:32:05,2020-12-31 04:32:20,0.14,ft,A
2020-12-31 04:08:08,2020-12-31 04:08:23,0.25,ft,A
2020-12-31 03:38:10,2020-12-31 03:38:25,0.21,ft,A
2020-12-31 03:08:03,2020-12-31 03:08:18,0.24,ft,A
2020-12-31 02:38:04,2020-12-31 02:38:19,0.21,ft,A
2020-12-31 02:08:07,2020-12-31 02:08:22,0.25,ft,A
2020-12-31 01:38:09,2020-12-31 01:38:24,0.16,ft,A
2020-12-31 01:08:02,2020-12-31 01:08:17,0.19,ft,A
2020-12-31 00:38:05,2020-12-31 00:38:20,0.19,ft,A
2020-12-31 00:27:06,2020-12-31 00:27:22,0.21,ft,A
2020-12-31 00:08:10,2020-12-31 00:08:25,0.31,ft,A
