Reading,Receive,Value,Unit,Data Quality
2023-11-08 15:38:07,2023-11-08 15:39:07,0.59,ft,A
2023-11-08 15:08:05,2023-11-08 15:09:05,0.62,ft,A
2023-11-08 14:38:07,2023-11-08 14:39:12,0.61,ft,A
2023-11-08 14:08:11,2023-11-08 14:09:11,0.59,ft,A
2023-11-08 13:38:05,2023-11-08 13:39:05,0.62,ft,A
2023-11-08 13:08:03,2023-11-08 13:09:09,0.67,ft,A
2023-11-08 12:38:07,2023-11-08 12:39:07,0.72,ft,A
2023-11-08 12:08:06,2023-11-08 12:09:11,0.72,ft,A
2023-11-08 11:38:08,2023-11-08 11:39:13,0.73,ft,A
2023-11-08 11:08:10,2023-11-08 11:09:15,0.73,ft,A
2023-11-08 10:38:02,2023-11-08 10:39:07,0.72,ft,A
2023-11-08 10:08:04,2023-11-08 10:09:10,0.76,ft,A
2023-11-08 09:38:02,2023-11-08 09:39:02,0.75,ft,A
2023-11-08 09:08:08,2023-11-08 09:09:08,0.75,ft,A
2023-11-08 08:38:06,2023-11-08 08:39:06,0.74,ft,A
2023-11-08 08:08:08,2023-11-08 08:09:13,0.74,ft,A
2023-11-08 07:38:08,2023-11-08 07:39:08,0.72,ft,A
2023-11-08 07:08:02,2023-11-08 07:09:02,0.72,ft,A
2023-11-08 06:38:06,2023-11-08 06:39:11,0.74,ft,A
2023-11-08 06:08:08,2023-11-08 06:09:14,0.73,ft,A
2023-11-08 05:38:02,2023-11-08 05:39:02,0.73,ft,A
2023-11-08 05:08:10,2023-11-08 05:09:15,0.73,ft,A
2023-11-08 04:38:10,2023-11-08 04:39:10,0.75,ft,A
2023-11-08 04:08:04,2023-11-08 04:09:04,0.76,ft,A
2023-11-08 03:38:06,2023-11-08 03:39:11,0.72,ft,A
2023-11-08 03:08:04,2023-11-08 03:09:10,0.75,ft,A
2023-11-08 02:38:08,2023-11-08 02:39:13,0.78,ft,A
2023-11-08 02:08:02,2023-11-08 02:09:02,0.77,ft,A
2023-11-08 01:38:04,2023-11-08 01:39:09,0.72,ft,A
2023-11-08 01:08:02,2023-11-08 01:09:08,0.77,ft,A
2023-11-08 00:38:10,2023-11-08 00:39:16,0.8,ft,A
2023-11-08 00:08:10,2023-11-08 00:09:10,0.78,ft,A
2023-11-07 23:38:04,2023-11-07 23:39:10,0.77,ft,A
2023-11-07 23:08:02,2023-11-07 23:09:07,0.76,ft,A
2023-11-07 22:38:06,2023-11-07 22:39:12,0.76,ft,A
2023-11-07 22:08:04,2023-11-07 22:09:04,0.76,ft,A
2023-11-07 21:38:08,2023-11-07 21:39:08,0.75,ft,A
2023-11-07 21:08:02,2023-11-07 21:09:07,0.74,ft,A
2023-11-07 20:38:02,2023-11-07 20:39:02,0.73,ft,A
2023-11-07 20:08:10,2023-11-07 20:09:10,0.73,ft,A
2023-11-07 19:38:05,2023-11-07 19:39:10,0.7,ft,A
2023-11-07 19:08:07,2023-11-07 19:09:12,0.67,ft,A
2023-11-07 18:38:06,2023-11-07 18:39:11,0.64,ft,A
2023-11-07 18:08:10,2023-11-07 18:09:15,0.62,ft,A
2023-11-07 17:38:04,2023-11-07 17:39:09,0.6,ft,A
2023-11-07 17:08:08,2023-11-07 17:09:14,0.56,ft,A
2023-11-07 16:38:02,2023-11-07 16:39:02,0.58,ft,A
2023-11-07 16:08:10,2023-11-07 16:09:16,0.61,ft,A
2023-11-07 15:38:08,2023-11-07 15:39:08,0.63,ft,A
2023-11-07 15:08:06,2023-11-07 15:09:12,0.63,ft,A
2023-11-07 14:38:10,2023-11-07 14:39:10,0.66,ft,A
2023-11-07 14:08:08,2023-11-07 14:09:13,0.63,ft,A
2023-11-07 13:38:02,2023-11-07 13:39:08,0.62,ft,A
2023-11-07 13:08:10,2023-11-07 13:09:15,0.67,ft,A
2023-11-07 12:38:08,2023-11-07 12:39:13,0.65,ft,A
2023-11-07 12:08:10,2023-11-07 12:09:16,0.62,ft,A
2023-11-07 11:38:02,2023-11-07 11:39:08,0.62,ft,A
2023-11-07 11:08:06,2023-11-07 11:09:12,0.62,ft,A
2023-11-07 10:38:04,2023-11-07 10:39:09,0.63,ft,A
2023-11-07 10:08:08,2023-11-07 10:09:08,0.65,ft,A
2023-11-07 09:38:02,2023-11-07 09:39:07,0.64,ft,A
2023-11-07 09:08:10,2023-11-07 09:09:15,0.63,ft,A
2023-11-07 08:38:10,2023-11-07 08:39:10,0.64,ft,A
2023-11-07 08:08:10,2023-11-07 08:09:10,0.63,ft,A
2023-11-07 07:38:08,2023-11-07 07:39:13,0.63,ft,A
2023-11-07 07:08:10,2023-11-07 07:09:15,0.6,ft,A
2023-11-07 06:38:08,2023-11-07 06:39:08,0.63,ft,A
2023-11-07 06:08:02,2023-11-07 06:09:07,0.61,ft,A
2023-11-07 05:38:06,2023-11-07 05:39:06,0.62,ft,A
2023-11-07 05:08:10,2023-11-07 05:09:10,0.6,ft,A
2023-11-07 04:38:08,2023-11-07 04:39:13,0.59,ft,A
2023-11-07 04:08:06,2023-11-07 04:09:11,0.6,ft,A
2023-11-07 03:38:02,2023-11-07 03:39:02,0.6,ft,A
2023-11-07 03:08:10,2023-11-07 03:09:10,0.61,ft,A
