Reading,Receive,Value,Unit,Data Quality
12/26/2019 17:38,12/26/2019 17:38,0.2,ft,A
12/26/2019 17:08,12/26/2019 17:08,0.15,ft,A
12/26/2019 16:38,12/26/2019 16:38,0.16,ft,A
12/26/2019 16:08,12/26/2019 16:08,0.19,ft,A
12/26/2019 15:38,12/26/2019 15:38,0.17,ft,A
12/26/2019 15:08,12/26/2019 15:08,0.14,ft,A
12/26/2019 14:38,12/26/2019 14:38,0.13,ft,A
12/26/2019 14:08,12/26/2019 14:08,0.08,ft,A
12/26/2019 13:38,12/26/2019 13:38,0.08,ft,A
12/26/2019 13:08,12/26/2019 13:08,0.12,ft,A
12/26/2019 12:38,12/26/2019 12:38,0.12,ft,A
12/26/2019 12:08,12/26/2019 12:08,0.03,ft,A
12/26/2019 11:38,12/26/2019 11:38,0.08,ft,A
12/26/2019 11:08,12/26/2019 11:08,0.13,ft,A
12/26/2019 10:38,12/26/2019 10:38,0.05,ft,A
12/26/2019 10:08,12/26/2019 10:08,-0.04,ft,A
12/26/2019 9:38,12/26/2019 9:38,-0.02,ft,A
12/26/2019 9:08,12/26/2019 9:08,-0.02,ft,A
12/26/2019 8:38,12/26/2019 8:38,-0.04,ft,A
12/26/2019 8:08,12/26/2019 8:08,-0.04,ft,A
12/26/2019 7:38,12/26/2019 7:38,-0.02,ft,A
12/26/2019 7:08,12/26/2019 7:08,-0.02,ft,A
12/26/2019 6:38,12/26/2019 6:38,-0.02,ft,A
12/26/2019 6:08,12/26/2019 6:08,-0.01,ft,A
12/26/2019 5:38,12/26/2019 5:38,-0.06,ft,A
12/26/2019 5:08,12/26/2019 5:08,-0.01,ft,A
12/26/2019 4:38,12/26/2019 4:38,-0.09,ft,A
12/26/2019 4:08,12/26/2019 4:08,-0.04,ft,A
12/26/2019 3:38,12/26/2019 3:38,-0.04,ft,A
12/26/2019 3:08,12/26/2019 3:08,-0.08,ft,A
12/26/2019 2:38,12/26/2019 2:38,-0.04,ft,A
12/26/2019 2:08,12/26/2019 2:08,-0.06,ft,A
12/26/2019 1:38,12/26/2019 1:38,-0.06,ft,A
12/26/2019 1:08,12/26/2019 1:08,-0.14,ft,A
12/26/2019 0:38,12/26/2019 0:38,-0.14,ft,A
12/26/2019 0:08,12/26/2019 0:08,-0.2,ft,A
12/25/2019 23:38,12/25/2019 23:38,-0.22,ft,A
12/25/2019 23:08,12/25/2019 23:08,-0.17,ft,A
12/25/2019 22:38,12/25/2019 22:38,-0.24,ft,A
12/25/2019 22:30,12/25/2019 22:30,-0.21,ft,A
12/25/2019 22:08,12/25/2019 22:08,-0.11,ft,A
