Reading,Receive,Value,Unit,Data Quality
2021-12-31 23:38:05,2021-12-31 23:38:19,0.59,ft,A
2021-12-31 23:08:08,2021-12-31 23:08:22,0.61,ft,A
2021-12-31 22:38:11,2021-12-31 22:38:25,0.51,ft,A
2021-12-31 22:08:04,2021-12-31 22:08:18,0.44,ft,A
2021-12-31 21:38:07,2021-12-31 21:38:21,0.45,ft,A
2021-12-31 21:08:10,2021-12-31 21:08:24,0.46,ft,A
2021-12-31 20:38:10,2021-12-31 20:38:27,0.47,ft,A
2021-12-31 20:08:03,2021-12-31 20:08:17,0.42,ft,A
2021-12-31 19:38:06,2021-12-31 19:38:20,0.48,ft,A
2021-12-31 19:08:09,2021-12-31 19:08:23,0.44,ft,A
2021-12-31 18:38:03,2021-12-31 18:38:17,0.46,ft,A
2021-12-31 18:08:06,2021-12-31 18:08:21,0.5,ft,A
2021-12-31 17:38:02,2021-12-31 17:38:17,0.55,ft,A
2021-12-31 17:08:07,2021-12-31 17:08:21,0.58,ft,A
2021-12-31 16:38:10,2021-12-31 16:38:24,0.6,ft,A
2021-12-31 16:08:04,2021-12-31 16:08:18,0.63,ft,A
2021-12-31 15:38:09,2021-12-31 15:38:23,0.62,ft,A
2021-12-31 15:08:02,2021-12-31 15:08:17,0.65,ft,A
2021-12-31 14:38:07,2021-12-31 14:38:21,0.63,ft,A
2021-12-31 14:08:08,2021-12-31 14:08:23,0.65,ft,A
2021-12-31 13:38:02,2021-12-31 13:38:16,0.64,ft,A
2021-12-31 13:08:06,2021-12-31 13:08:20,0.65,ft,A
2021-12-31 12:38:10,2021-12-31 12:38:24,0.64,ft,A
2021-12-31 12:08:06,2021-12-31 12:08:20,0.64,ft,A
2021-12-31 11:38:10,2021-12-31 11:38:24,0.61,ft,A
2021-12-31 11:08:03,2021-12-31 11:08:17,0.57,ft,A
2021-12-31 10:38:07,2021-12-31 10:38:21,0.5,ft,A
2021-12-31 10:08:11,2021-12-31 10:08:25,0.54,ft,A
2021-12-31 09:38:04,2021-12-31 09:38:18,0.49,ft,A
2021-12-31 09:08:07,2021-12-31 09:08:21,0.44,ft,A
2021-12-31 08:38:08,2021-12-31 08:38:25,0.44,ft,A
2021-12-31 08:08:11,2021-12-31 08:08:25,0.5,ft,A
2021-12-31 07:38:05,2021-12-31 07:38:19,0.43,ft,A
2021-12-31 07:08:06,2021-12-31 07:08:21,0.37,ft,A
2021-12-31 06:38:11,2021-12-31 06:38:25,0.39,ft,A
2021-12-31 06:08:04,2021-12-31 06:08:18,0.43,ft,A
2021-12-31 05:38:07,2021-12-31 05:38:21,0.46,ft,A
2021-12-31 05:08:10,2021-12-31 05:08:24,0.4,ft,A
2021-12-31 04:38:03,2021-12-31 04:38:17,0.47,ft,A
2021-12-31 04:08:06,2021-12-31 04:08:20,0.42,ft,A
2021-12-31 03:38:10,2021-12-31 03:38:24,0.44,ft,A
2021-12-31 03:08:04,2021-12-31 03:08:18,0.47,ft,A
2021-12-31 02:38:09,2021-12-31 02:38:23,0.49,ft,A
2021-12-31 02:08:02,2021-12-31 02:08:16,0.51,ft,A
2021-12-31 01:38:06,2021-12-31 01:38:20,0.54,ft,A
2021-12-31 01:08:09,2021-12-31 01:08:23,0.53,ft,A
2021-12-31 00:38:03,2021-12-31 00:38:17,0.48,ft,A
2021-12-31 00:08:06,2021-12-31 00:08:20,0.49,ft,A
2021-12-30 23:38:08,2021-12-30 23:38:22,0.49,ft,A
2021-12-30 23:08:10,2021-12-30 23:08:24,0.49,ft,A
2021-12-30 22:38:04,2021-12-30 22:38:18,0.47,ft,A
2021-12-30 22:08:07,2021-12-30 22:08:22,0.47,ft,A
2021-12-30 21:38:11,2021-12-30 21:38:25,0.45,ft,A
2021-12-30 21:08:05,2021-12-30 21:08:19,0.42,ft,A
2021-12-30 20:38:09,2021-12-30 20:38:23,0.48,ft,A
2021-12-30 20:08:03,2021-12-30 20:08:17,0.46,ft,A
2021-12-30 19:38:06,2021-12-30 19:38:20,0.49,ft,A
2021-12-30 19:08:09,2021-12-30 19:08:23,0.47,ft,A
2021-12-30 18:38:02,2021-12-30 18:38:16,0.49,ft,A
2021-12-30 18:08:05,2021-12-30 18:08:19,0.53,ft,A
2021-12-30 17:38:09,2021-12-30 17:38:23,0.54,ft,A
2021-12-30 17:08:02,2021-12-30 17:08:16,0.57,ft,A
2021-12-30 16:38:06,2021-12-30 16:38:20,0.59,ft,A
2021-12-30 16:08:10,2021-12-30 16:08:24,0.6,ft,A
2021-12-30 15:38:03,2021-12-30 15:38:17,0.64,ft,A
2021-12-30 15:08:06,2021-12-30 15:08:21,0.64,ft,A
2021-12-30 14:38:10,2021-12-30 14:38:24,0.65,ft,A
2021-12-30 14:08:05,2021-12-30 14:08:19,0.61,ft,A
2021-12-30 13:38:05,2021-12-30 13:38:19,0.65,ft,A
2021-12-30 13:08:08,2021-12-30 13:08:23,0.62,ft,A
2021-12-30 12:38:02,2021-12-30 12:38:16,0.64,ft,A
2021-12-30 12:08:06,2021-12-30 12:08:20,0.64,ft,A
2021-12-30 11:38:10,2021-12-30 11:38:24,0.69,ft,A
2021-12-30 11:08:03,2021-12-30 11:08:17,0.69,ft,A
2021-12-30 10:38:07,2021-12-30 10:38:21,0.61,ft,A
2021-12-30 10:08:10,2021-12-30 10:08:24,0.58,ft,A
2021-12-30 09:38:05,2021-12-30 09:38:19,0.56,ft,A
2021-12-30 09:08:08,2021-12-30 09:08:22,0.52,ft,A
2021-12-30 08:38:10,2021-12-30 08:38:25,0.51,ft,A
2021-12-30 08:08:04,2021-12-30 08:08:18,0.49,ft,A
2021-12-30 07:38:08,2021-12-30 07:38:22,0.43,ft,A
2021-12-30 07:08:02,2021-12-30 07:08:16,0.39,ft,A
2021-12-30 06:38:07,2021-12-30 06:38:21,0.33,ft,A
2021-12-30 06:08:09,2021-12-30 06:08:24,0.35,ft,A
2021-12-30 05:38:02,2021-12-30 05:38:16,0.31,ft,A
2021-12-30 05:08:05,2021-12-30 05:08:19,0.35,ft,A
2021-12-30 04:38:08,2021-12-30 04:38:22,0.4,ft,A
2021-12-30 04:08:10,2021-12-30 04:08:24,0.41,ft,A
2021-12-30 03:38:06,2021-12-30 03:38:20,0.42,ft,A
2021-12-30 03:08:11,2021-12-30 03:08:40,0.44,ft,A
2021-12-30 02:38:04,2021-12-30 02:38:18,0.44,ft,A
2021-12-30 02:08:08,2021-12-30 02:08:22,0.42,ft,A
2021-12-30 01:38:02,2021-12-30 01:38:16,0.48,ft,A
2021-12-30 01:08:06,2021-12-30 01:08:20,0.49,ft,A
2021-12-30 00:38:09,2021-12-30 00:38:23,0.44,ft,A
2021-12-30 00:08:02,2021-12-30 00:08:16,0.45,ft,A
2021-12-29 23:38:10,2021-12-29 23:38:24,0.49,ft,A
2021-12-29 23:08:03,2021-12-29 23:08:17,0.48,ft,A
2021-12-29 22:38:06,2021-12-29 22:38:20,0.49,ft,A
2021-12-29 22:08:09,2021-12-29 22:08:23,0.47,ft,A
2021-12-29 21:38:02,2021-12-29 21:38:16,0.48,ft,A
2021-12-29 21:08:05,2021-12-29 21:08:19,0.46,ft,A
2021-12-29 20:38:11,2021-12-29 20:38:25,0.45,ft,A
2021-12-29 20:08:11,2021-12-29 20:08:25,0.43,ft,A
2021-12-29 19:38:04,2021-12-29 19:38:18,0.41,ft,A
2021-12-29 19:08:08,2021-12-29 19:08:22,0.4,ft,A
2021-12-29 18:38:08,2021-12-29 18:38:22,0.4,ft,A
2021-12-29 18:08:02,2021-12-29 18:08:16,0.38,ft,A
2021-12-29 17:38:06,2021-12-29 17:38:20,0.4,ft,A
2021-12-29 17:08:10,2021-12-29 17:08:24,0.44,ft,A
2021-12-29 16:38:03,2021-12-29 16:38:17,0.48,ft,A
2021-12-29 16:08:06,2021-12-29 16:08:20,0.45,ft,A
2021-12-29 15:38:09,2021-12-29 15:38:24,0.46,ft,A
2021-12-29 15:08:03,2021-12-29 15:08:17,0.46,ft,A
2021-12-29 14:38:06,2021-12-29 14:38:20,0.43,ft,A
2021-12-29 14:08:09,2021-12-29 14:08:23,0.5,ft,A
2021-12-29 13:38:02,2021-12-29 13:38:16,0.48,ft,A
2021-12-29 13:08:05,2021-12-29 13:08:19,0.44,ft,A
2021-12-29 12:38:08,2021-12-29 12:38:22,0.49,ft,A
2021-12-29 12:08:08,2021-12-29 12:08:25,0.48,ft,A
2021-12-29 11:38:11,2021-12-29 11:38:25,0.39,ft,A
2021-12-29 11:08:04,2021-12-29 11:08:18,0.44,ft,A
2021-12-29 10:38:07,2021-12-29 10:38:21,0.44,ft,A
2021-12-29 10:08:10,2021-12-29 10:08:24,0.38,ft,A
2021-12-29 09:38:03,2021-12-29 09:38:17,0.42,ft,A
2021-12-29 09:08:06,2021-12-29 09:08:20,0.36,ft,A
2021-12-29 08:38:09,2021-12-29 08:38:23,0.37,ft,A
2021-12-29 08:08:02,2021-12-29 08:08:16,0.34,ft,A
2021-12-29 07:38:06,2021-12-29 07:38:20,0.33,ft,A
2021-12-29 07:08:07,2021-12-29 07:08:21,0.32,ft,A
2021-12-29 06:38:10,2021-12-29 06:38:24,0.28,ft,A
2021-12-29 06:08:03,2021-12-29 06:08:17,0.27,ft,A
2021-12-29 05:38:06,2021-12-29 05:38:20,0.25,ft,A
2021-12-29 05:08:09,2021-12-29 05:08:23,0.24,ft,A
2021-12-29 04:38:02,2021-12-29 04:38:16,0.16,ft,A
2021-12-29 04:08:05,2021-12-29 04:08:19,0.18,ft,A
2021-12-29 03:38:08,2021-12-29 03:38:22,0.17,ft,A
2021-12-29 03:08:11,2021-12-29 03:08:25,0.14,ft,A
2021-12-29 02:38:05,2021-12-29 02:38:19,0.06,ft,A
2021-12-29 02:08:08,2021-12-29 02:08:22,0.02,ft,A
2021-12-29 01:38:11,2021-12-29 01:38:25,0.09,ft,A
2021-12-29 01:08:04,2021-12-29 01:08:18,0.15,ft,A
2021-12-29 00:38:07,2021-12-29 00:38:21,0.12,ft,A
2021-12-29 00:08:07,2021-12-29 00:08:21,0.13,ft,A
2021-12-28 23:38:08,2021-12-28 23:38:22,0.17,ft,A
2021-12-28 23:08:11,2021-12-28 23:08:25,0.16,ft,A
2021-12-28 22:38:03,2021-12-28 22:38:18,0.22,ft,A
2021-12-28 22:08:08,2021-12-28 22:08:22,0.28,ft,A
2021-12-28 21:38:02,2021-12-28 21:38:17,0.32,ft,A
2021-12-28 21:08:06,2021-12-28 21:08:20,0.23,ft,A
2021-12-28 21:05:09,2021-12-28 21:05:23,0.23,ft,A
2021-12-28 20:38:07,2021-12-28 20:38:21,0.33,ft,A
2021-12-28 20:08:10,2021-12-28 20:08:24,0.36,ft,A
2021-12-28 19:38:04,2021-12-28 19:38:18,0.3,ft,A
2021-12-28 19:08:09,2021-12-28 19:08:23,0.29,ft,A
2021-12-28 18:38:03,2021-12-28 18:38:17,0.29,ft,A
2021-12-28 18:08:07,2021-12-28 18:08:21,0.27,ft,A
2021-12-28 17:38:10,2021-12-28 17:38:24,0.24,ft,A
2021-12-28 17:08:10,2021-12-28 17:08:27,0.24,ft,A
2021-12-28 16:38:06,2021-12-28 16:38:20,0.25,ft,A
2021-12-28 16:08:10,2021-12-28 16:08:25,0.16,ft,A
2021-12-28 15:38:04,2021-12-28 15:38:18,0.23,ft,A
2021-12-28 15:08:07,2021-12-28 15:08:21,0.3,ft,A
2021-12-28 14:38:07,2021-12-28 14:38:21,0.34,ft,A
2021-12-28 14:08:10,2021-12-28 14:08:24,0.37,ft,A
2021-12-28 13:38:03,2021-12-28 13:38:17,0.4,ft,A
2021-12-28 13:08:06,2021-12-28 13:08:20,0.39,ft,A
2021-12-28 12:38:09,2021-12-28 12:38:23,0.4,ft,A
2021-12-28 12:08:04,2021-12-28 12:08:18,0.4,ft,A
2021-12-28 11:38:07,2021-12-28 11:38:21,0.38,ft,A
2021-12-28 11:08:10,2021-12-28 11:08:24,0.4,ft,A
2021-12-28 10:38:03,2021-12-28 10:38:17,0.38,ft,A
2021-12-28 10:08:06,2021-12-28 10:08:20,0.39,ft,A
2021-12-28 09:38:10,2021-12-28 09:38:24,0.34,ft,A
