date,mean,meanQual
7/11/2014,5.8,A
7/12/2014,5.54,A
7/13/2014,4.64,A
7/14/2014,3.68,A
7/15/2014,3.96,A
7/16/2014,5.54,A
7/17/2014,5.99,A
7/18/2014,5.53,A
7/19/2014,4.57,A
7/20/2014,3.41,A
7/21/2014,3.13,A
7/22/2014,3.35,A
7/23/2014,4.55,A
7/24/2014,5.28,A
7/25/2014,5.52,A
7/26/2014,5.88,A
7/27/2014,5.19,A
7/28/2014,4,A
7/29/2014,4.23,A
7/30/2014,5.1,A
7/31/2014,5.66,A
8/1/2014,5.44,A
8/2/2014,5.26,A
8/3/2014,6.51,A
8/4/2014,6.81,A
8/5/2014,6.46,A
8/6/2014,6.97,A
8/7/2014,7.3,A
8/8/2014,6.12,A
8/9/2014,4.75,A
8/10/2014,4.15,A
8/11/2014,3.97,A
8/12/2014,4.32,A
8/13/2014,4.95,A
8/14/2014,4.91,A
8/15/2014,4.97,A
8/16/2014,5.11,A
8/17/2014,4.76,A
8/18/2014,4.15,A
8/19/2014,4.72,A
8/20/2014,5.99,A
8/21/2014,7.34,A
8/22/2014,8.44,A
8/23/2014,8.9,A
8/24/2014,7.23,A
8/25/2014,5.06,A
8/26/2014,4.32,A
8/27/2014,4.86,A
8/28/2014,5.15,A
8/29/2014,6.02,A
8/30/2014,6.73,A
8/31/2014,5.81,A
9/1/2014,4.5,A
9/2/2014,3.86,A
9/3/2014,5.39,A
9/4/2014,8.06,A
9/5/2014,8.53,A
9/6/2014,8.96,A
9/7/2014,7.17,A
9/8/2014,5.34,A
9/9/2014,5.49,A
9/10/2014,11.12,A
9/11/2014,11.46,A
9/12/2014,9.53,A
9/13/2014,8.36,A
9/14/2014,6.73,A
9/15/2014,5.19,A
9/16/2014,4.85,A
9/17/2014,6.5,A
9/18/2014,7.58,A
9/19/2014,7.09,A
9/20/2014,6.46,A
9/21/2014,5.42,A
9/22/2014,4.25,A
9/23/2014,4.79,A
9/24/2014,5.49,A
9/25/2014,5.38,A
9/26/2014,5.27,A
9/27/2014,4.47,A
9/28/2014,3.95,A
9/29/2014,3.66,A
9/30/2014,3.65,A
10/1/2014,3.82,A
10/2/2014,3.48,A
10/3/2014,3.48,A
10/4/2014,3.42,A
10/5/2014,3.17,A
10/6/2014,3.19,A
10/7/2014,3.28,A
10/8/2014,3.16,A
10/9/2014,3.1,A
10/10/2014,3.02,A
10/11/2014,3.25,A
10/12/2014,3.26,A
10/13/2014,2.99,A
10/14/2014,3.38,A
10/15/2014,4.83,A
10/16/2014,8.24,A
10/17/2014,10.75,A
10/18/2014,10.27,A
10/19/2014,9.34,A
10/20/2014,9.37,A
10/21/2014,9.54,A
10/22/2014,9.53,A
10/23/2014,9.4,A
10/24/2014,9.32,A
10/25/2014,9.39,A
10/26/2014,8.34,A
10/27/2014,6.25,A
10/28/2014,4.56,A
10/29/2014,3.77,A
10/30/2014,3.53,A
10/31/2014,2.99,A
11/1/2014,2.72,A
11/2/2014,2.54,A
11/3/2014,2.26,A
11/4/2014,2.42,A
11/5/2014,2.64,A
11/6/2014,2.64,A
11/7/2014,2.56,A
11/8/2014,2.58,A
11/9/2014,2.65,A
11/10/2014,2.63,A
11/11/2014,2.58,A
11/12/2014,2.63,A
11/13/2014,2.7,A
11/14/2014,2.46,A
11/15/2014,2.29,A
11/16/2014,2.43,A
11/17/2014,2.69,A
11/18/2014,2.82,A
11/19/2014,2.64,A
11/20/2014,2.94,A
11/21/2014,3.06,A
11/22/2014,2.79,A
11/23/2014,2.78,A
11/24/2014,3.03,A
11/25/2014,3.3,A
11/26/2014,3.63,A
11/27/2014,7.03,A
11/28/2014,7.87,A
11/29/2014,5.88,A
11/30/2014,4.62,A
12/1/2014,3.94,A
12/2/2014,3.63,A
12/3/2014,3.63,A
12/4/2014,6.87,A
12/5/2014,9.31,A
12/6/2014,10.68,A
12/7/2014,10.6,A
12/8/2014,10.27,A
12/9/2014,10.28,A
12/10/2014,10.29,A
12/11/2014,10.56,A
12/12/2014,12.02,A
12/13/2014,11.5,A
12/14/2014,9.57,A
12/15/2014,8.29,A
12/16/2014,8.46,A
12/17/2014,8.62,A
12/18/2014,8.52,A
12/19/2014,8.39,A
12/20/2014,8.23,A
12/21/2014,6.62,A
12/22/2014,5.42,A
12/23/2014,7.54,A
12/24/2014,9.4,A
12/25/2014,12.6,A
12/26/2014,13.34,A
12/27/2014,13.02,A
12/28/2014,11.62,A
12/29/2014,10.69,A
12/30/2014,10.76,A
12/31/2014,10.23,A
1/1/2015,11.86,A
1/2/2015,12.91,A
1/3/2015,13.41,A
1/4/2015,11.39,A
1/5/2015,9.62,A
1/6/2015,10.41,A
1/7/2015,10.56,A
1/8/2015,10.73,A
1/9/2015,11.47,A
1/10/2015,10.85,A
1/11/2015,10.46,A
1/12/2015,9.96,A
1/13/2015,10.9,A
1/14/2015,11.75,A
1/15/2015,11.99,A
1/16/2015,11.95,A
1/17/2015,11.57,A
1/18/2015,10.74,A
1/19/2015,10.51,A
1/20/2015,10.99,A
1/21/2015,11.51,A
1/22/2015,10.91,A
1/23/2015,11.46,A
1/24/2015,12.06,A
1/25/2015,10.68,A
1/26/2015,8.95,A
1/27/2015,8.25,A
1/28/2015,9.72,A
1/29/2015,10.8,A
1/30/2015,10.94,A
1/31/2015,10.55,A
2/1/2015,10.44,A
2/2/2015,10.33,A
2/3/2015,10.96,A
2/4/2015,11.32,A
2/5/2015,10.98,A
2/6/2015,10.35,A
2/7/2015,9.76,A
2/8/2015,7.63,A
2/9/2015,5.92,A
2/10/2015,5.39,A
2/11/2015,5.18,A
2/12/2015,4.99,A
2/13/2015,5.16,A
