Reading,Value,Unit,Data Quality,Receive
12/31/2018 23:55,0.3,ft,A,1/1/2019 0:46
12/31/2018 23:50,0.29,ft,A,1/1/2019 0:46
12/31/2018 23:45,0.3,ft,A,1/1/2019 0:46
12/31/2018 23:40,0.31,ft,A,1/1/2019 0:46
12/31/2018 23:35,0.31,ft,A,1/1/2019 0:46
12/31/2018 23:30,0.31,ft,A,1/1/2019 0:46
12/31/2018 23:25,0.31,ft,A,1/1/2019 0:16
12/31/2018 23:20,0.31,ft,A,1/1/2019 0:16
12/31/2018 23:15,0.3,ft,A,1/1/2019 0:16
12/31/2018 23:10,0.3,ft,A,1/1/2019 0:16
12/31/2018 23:05,0.31,ft,A,1/1/2019 0:16
12/31/2018 23:00,0.31,ft,A,1/1/2019 0:16
12/31/2018 22:55,0.31,ft,A,1/1/2019 0:16
12/31/2018 22:50,0.31,ft,A,1/1/2019 0:16
12/31/2018 22:45,0.3,ft,A,1/1/2019 0:16
12/31/2018 22:40,0.3,ft,A,1/1/2019 0:16
12/31/2018 22:35,0.29,ft,A,1/1/2019 0:16
12/31/2018 22:30,0.27,ft,A,1/1/2019 0:16
12/31/2018 22:25,0.26,ft,A,12/31/2018 22:46
12/31/2018 22:20,0.26,ft,A,12/31/2018 22:46
12/31/2018 22:15,0.27,ft,A,12/31/2018 22:46
12/31/2018 22:10,0.28,ft,A,12/31/2018 22:46
12/31/2018 22:05,0.28,ft,A,12/31/2018 22:46
12/31/2018 22:00,0.27,ft,A,12/31/2018 22:46
12/31/2018 21:55,0.29,ft,A,12/31/2018 22:46
12/31/2018 21:50,0.3,ft,A,12/31/2018 22:46
12/31/2018 21:45,0.3,ft,A,12/31/2018 22:46
12/31/2018 21:40,0.3,ft,A,12/31/2018 22:46
12/31/2018 21:35,0.3,ft,A,12/31/2018 22:46
12/31/2018 21:30,0.3,ft,A,12/31/2018 22:46
12/31/2018 21:25,0.29,ft,A,12/31/2018 21:46
12/31/2018 21:20,0.27,ft,A,12/31/2018 21:46
12/31/2018 21:15,0.26,ft,A,12/31/2018 21:46
12/31/2018 21:10,0.26,ft,A,12/31/2018 21:46
12/31/2018 21:05,0.28,ft,A,12/31/2018 21:46
12/31/2018 21:00,0.28,ft,A,12/31/2018 21:46
12/31/2018 20:55,0.27,ft,A,12/31/2018 21:46
12/31/2018 20:50,0.27,ft,A,12/31/2018 21:46
12/31/2018 20:45,0.29,ft,A,12/31/2018 21:46
12/31/2018 20:40,0.29,ft,A,12/31/2018 21:46
12/31/2018 20:35,0.29,ft,A,12/31/2018 21:46
12/31/2018 20:30,0.28,ft,A,12/31/2018 21:46
12/31/2018 20:25,0.26,ft,A,12/31/2018 20:46
12/31/2018 20:20,0.26,ft,A,12/31/2018 20:46
12/31/2018 20:15,0.25,ft,A,12/31/2018 20:46
12/31/2018 20:10,0.24,ft,A,12/31/2018 20:46
12/31/2018 20:05,0.22,ft,A,12/31/2018 20:46
12/31/2018 20:00,0.21,ft,A,12/31/2018 20:46
12/31/2018 19:55,0.22,ft,A,12/31/2018 20:46
12/31/2018 19:50,0.22,ft,A,12/31/2018 20:46
12/31/2018 19:45,0.21,ft,A,12/31/2018 20:46
12/31/2018 19:40,0.2,ft,A,12/31/2018 20:46
12/31/2018 19:35,0.21,ft,A,12/31/2018 20:46
12/31/2018 19:30,0.21,ft,A,12/31/2018 20:46
12/31/2018 19:25,0.22,ft,A,12/31/2018 19:46
12/31/2018 19:20,0.22,ft,A,12/31/2018 19:46
12/31/2018 19:15,0.22,ft,A,12/31/2018 19:46
12/31/2018 19:10,0.23,ft,A,12/31/2018 19:46
12/31/2018 19:05,0.22,ft,A,12/31/2018 19:46
12/31/2018 19:00,0.21,ft,A,12/31/2018 19:46
12/31/2018 18:55,0.21,ft,A,12/31/2018 19:46
12/31/2018 18:50,0.21,ft,A,12/31/2018 19:46
12/31/2018 18:45,0.21,ft,A,12/31/2018 19:46
12/31/2018 18:40,0.2,ft,A,12/31/2018 19:46
12/31/2018 18:35,0.2,ft,A,12/31/2018 19:46
12/31/2018 18:30,0.19,ft,A,12/31/2018 19:46
12/31/2018 18:25,0.2,ft,A,12/31/2018 18:46
12/31/2018 18:20,0.21,ft,A,12/31/2018 18:46
12/31/2018 18:15,0.2,ft,A,12/31/2018 18:46
12/31/2018 18:10,0.19,ft,A,12/31/2018 18:46
12/31/2018 18:05,0.19,ft,A,12/31/2018 18:46
12/31/2018 18:00,0.19,ft,A,12/31/2018 18:46
12/31/2018 17:55,0.18,ft,A,12/31/2018 18:46
12/31/2018 17:50,0.19,ft,A,12/31/2018 18:46
12/31/2018 17:45,0.21,ft,A,12/31/2018 18:46
12/31/2018 17:40,0.24,ft,A,12/31/2018 18:46
12/31/2018 17:35,0.24,ft,A,12/31/2018 18:46
12/31/2018 17:30,0.23,ft,A,12/31/2018 18:46
12/31/2018 17:25,0.23,ft,A,12/31/2018 17:46
12/31/2018 17:20,0.25,ft,A,12/31/2018 17:46
12/31/2018 17:15,0.26,ft,A,12/31/2018 17:46
12/31/2018 17:10,0.25,ft,A,12/31/2018 17:46
12/31/2018 17:05,0.23,ft,A,12/31/2018 17:46
12/31/2018 17:00,0.2,ft,A,12/31/2018 17:46
12/31/2018 16:55,0.2,ft,A,12/31/2018 17:46
12/31/2018 16:50,0.2,ft,A,12/31/2018 17:46
12/31/2018 16:45,0.19,ft,A,12/31/2018 17:46
12/31/2018 16:40,0.18,ft,A,12/31/2018 17:46
12/31/2018 16:35,0.2,ft,A,12/31/2018 17:46
12/31/2018 16:30,0.21,ft,A,12/31/2018 17:46
12/31/2018 16:25,0.23,ft,A,12/31/2018 16:46
12/31/2018 16:20,0.24,ft,A,12/31/2018 16:46
12/31/2018 16:15,0.23,ft,A,12/31/2018 16:46
12/31/2018 16:10,0.24,ft,A,12/31/2018 16:46
12/31/2018 16:05,0.25,ft,A,12/31/2018 16:46
12/31/2018 16:00,0.26,ft,A,12/31/2018 16:46
12/31/2018 15:55,0.24,ft,A,12/31/2018 16:46
12/31/2018 15:50,0.23,ft,A,12/31/2018 16:46
12/31/2018 15:45,0.21,ft,A,12/31/2018 16:46
12/31/2018 15:40,0.21,ft,A,12/31/2018 16:46
12/31/2018 15:35,0.21,ft,A,12/31/2018 16:46
12/31/2018 15:30,0.21,ft,A,12/31/2018 16:46
12/31/2018 15:25,0.22,ft,A,12/31/2018 15:46
12/31/2018 15:20,0.24,ft,A,12/31/2018 15:46
12/31/2018 15:15,0.24,ft,A,12/31/2018 15:46
12/31/2018 15:10,0.23,ft,A,12/31/2018 15:46
12/31/2018 15:05,0.23,ft,A,12/31/2018 15:46
12/31/2018 15:00,0.24,ft,A,12/31/2018 15:46
12/31/2018 14:55,0.24,ft,A,12/31/2018 15:46
12/31/2018 14:50,0.25,ft,A,12/31/2018 15:46
12/31/2018 14:45,0.25,ft,A,12/31/2018 15:46
12/31/2018 14:40,0.24,ft,A,12/31/2018 15:46
12/31/2018 14:35,0.23,ft,A,12/31/2018 15:46
12/31/2018 14:30,0.24,ft,A,12/31/2018 15:46
12/31/2018 14:25,0.25,ft,A,12/31/2018 14:46
12/31/2018 14:20,0.26,ft,A,12/31/2018 14:46
12/31/2018 14:15,0.27,ft,A,12/31/2018 14:46
12/31/2018 14:10,0.27,ft,A,12/31/2018 14:46
12/31/2018 14:05,0.27,ft,A,12/31/2018 14:46
12/31/2018 14:00,0.26,ft,A,12/31/2018 14:46
12/31/2018 13:55,0.26,ft,A,12/31/2018 14:46
12/31/2018 13:50,0.26,ft,A,12/31/2018 14:46
12/31/2018 13:45,0.27,ft,A,12/31/2018 14:46
12/31/2018 13:40,0.27,ft,A,12/31/2018 14:46
12/31/2018 13:35,0.26,ft,A,12/31/2018 14:46
12/31/2018 13:30,0.26,ft,A,12/31/2018 14:46
12/31/2018 13:25,0.27,ft,A,12/31/2018 13:46
12/31/2018 13:20,0.27,ft,A,12/31/2018 13:46
12/31/2018 13:15,0.28,ft,A,12/31/2018 13:46
12/31/2018 13:10,0.3,ft,A,12/31/2018 13:46
12/31/2018 13:05,0.29,ft,A,12/31/2018 13:46
12/31/2018 13:00,0.29,ft,A,12/31/2018 13:46
12/31/2018 12:55,0.29,ft,A,12/31/2018 13:46
12/31/2018 12:50,0.28,ft,A,12/31/2018 13:46
12/31/2018 12:45,0.28,ft,A,12/31/2018 13:46
12/31/2018 12:40,0.29,ft,A,12/31/2018 13:46
12/31/2018 12:35,0.29,ft,A,12/31/2018 13:46
12/31/2018 12:30,0.28,ft,A,12/31/2018 13:46
12/31/2018 12:25,0.28,ft,A,12/31/2018 12:46
12/31/2018 12:20,0.29,ft,A,12/31/2018 12:46
12/31/2018 12:15,0.31,ft,A,12/31/2018 12:46
12/31/2018 12:10,0.32,ft,A,12/31/2018 12:46
12/31/2018 12:05,0.31,ft,A,12/31/2018 12:46
12/31/2018 12:00,0.31,ft,A,12/31/2018 12:46
12/31/2018 11:55,0.32,ft,A,12/31/2018 12:46
12/31/2018 11:50,0.33,ft,A,12/31/2018 12:46
12/31/2018 11:45,0.33,ft,A,12/31/2018 12:46
12/31/2018 11:40,0.32,ft,A,12/31/2018 12:46
12/31/2018 11:35,0.3,ft,A,12/31/2018 12:46
12/31/2018 11:30,0.3,ft,A,12/31/2018 12:46
12/31/2018 11:25,0.31,ft,A,12/31/2018 11:46
12/31/2018 11:20,0.31,ft,A,12/31/2018 11:46
12/31/2018 11:15,0.3,ft,A,12/31/2018 11:46
12/31/2018 11:10,0.3,ft,A,12/31/2018 11:46
12/31/2018 11:05,0.31,ft,A,12/31/2018 11:46
12/31/2018 11:00,0.31,ft,A,12/31/2018 11:46
12/31/2018 10:55,0.3,ft,A,12/31/2018 11:46
12/31/2018 10:50,0.31,ft,A,12/31/2018 11:46
12/31/2018 10:45,0.31,ft,A,12/31/2018 11:46
12/31/2018 10:40,0.31,ft,A,12/31/2018 11:46
12/31/2018 10:35,0.32,ft,A,12/31/2018 11:46
12/31/2018 10:30,0.33,ft,A,12/31/2018 11:46
12/31/2018 10:25,0.31,ft,A,12/31/2018 10:46
12/31/2018 10:20,0.31,ft,A,12/31/2018 10:46
12/31/2018 10:15,0.32,ft,A,12/31/2018 10:46
12/31/2018 10:10,0.31,ft,A,12/31/2018 10:46
12/31/2018 10:05,0.3,ft,A,12/31/2018 10:46
12/31/2018 10:00,0.31,ft,A,12/31/2018 10:46
12/31/2018 9:55,0.3,ft,A,12/31/2018 10:46
12/31/2018 9:50,0.28,ft,A,12/31/2018 10:46
12/31/2018 9:45,0.27,ft,A,12/31/2018 10:46
12/31/2018 9:40,0.29,ft,A,12/31/2018 10:46
12/31/2018 9:35,0.29,ft,A,12/31/2018 10:46
12/31/2018 9:30,0.29,ft,A,12/31/2018 10:46
12/31/2018 9:25,0.3,ft,A,12/31/2018 9:46
12/31/2018 9:20,0.29,ft,A,12/31/2018 9:46
12/31/2018 9:15,0.28,ft,A,12/31/2018 9:46
12/31/2018 9:10,0.28,ft,A,12/31/2018 9:46
12/31/2018 9:05,0.27,ft,A,12/31/2018 9:46
12/31/2018 9:00,0.27,ft,A,12/31/2018 9:46
12/31/2018 8:55,0.27,ft,A,12/31/2018 9:46
12/31/2018 8:50,0.27,ft,A,12/31/2018 9:46
12/31/2018 8:45,0.25,ft,A,12/31/2018 9:46
12/31/2018 8:40,0.23,ft,A,12/31/2018 9:46
12/31/2018 8:35,0.23,ft,A,12/31/2018 9:46
12/31/2018 8:30,0.25,ft,A,12/31/2018 9:46
12/31/2018 8:25,0.26,ft,A,12/31/2018 8:46
12/31/2018 8:20,0.26,ft,A,12/31/2018 8:46
12/31/2018 8:15,0.26,ft,A,12/31/2018 8:46
12/31/2018 8:10,0.25,ft,A,12/31/2018 8:46
12/31/2018 8:05,0.24,ft,A,12/31/2018 8:46
12/31/2018 8:00,0.25,ft,A,12/31/2018 8:46
12/31/2018 7:55,0.24,ft,A,12/31/2018 8:46
12/31/2018 7:50,0.24,ft,A,12/31/2018 8:46
12/31/2018 7:45,0.23,ft,A,12/31/2018 8:46
12/31/2018 7:40,0.22,ft,A,12/31/2018 8:46
12/31/2018 7:35,0.23,ft,A,12/31/2018 8:46
12/31/2018 7:30,0.23,ft,A,12/31/2018 8:46
12/31/2018 7:25,0.22,ft,A,12/31/2018 7:46
12/31/2018 7:20,0.22,ft,A,12/31/2018 7:46
12/31/2018 7:15,0.23,ft,A,12/31/2018 7:46
12/31/2018 7:10,0.23,ft,A,12/31/2018 7:46
12/31/2018 7:05,0.22,ft,A,12/31/2018 7:46
12/31/2018 7:00,0.22,ft,A,12/31/2018 7:46
12/31/2018 6:55,0.22,ft,A,12/31/2018 7:46
12/31/2018 6:50,0.22,ft,A,12/31/2018 7:46
12/31/2018 6:45,0.23,ft,A,12/31/2018 7:46
12/31/2018 6:40,0.23,ft,A,12/31/2018 7:46
12/31/2018 6:35,0.22,ft,A,12/31/2018 7:46
12/31/2018 6:30,0.22,ft,A,12/31/2018 7:46
12/31/2018 6:25,0.23,ft,A,12/31/2018 6:46
12/31/2018 6:20,0.24,ft,A,12/31/2018 6:46
12/31/2018 6:15,0.23,ft,A,12/31/2018 6:46
12/31/2018 6:10,0.22,ft,A,12/31/2018 6:46
12/31/2018 6:05,0.22,ft,A,12/31/2018 6:46
12/31/2018 6:00,0.23,ft,A,12/31/2018 6:46
12/31/2018 5:55,0.23,ft,A,12/31/2018 6:46
12/31/2018 5:50,0.23,ft,A,12/31/2018 6:46
12/31/2018 5:45,0.22,ft,A,12/31/2018 6:46
12/31/2018 5:40,0.22,ft,A,12/31/2018 6:46
12/31/2018 5:35,0.22,ft,A,12/31/2018 6:46
12/31/2018 5:30,0.22,ft,A,12/31/2018 6:46
12/31/2018 5:25,0.22,ft,A,12/31/2018 5:46
12/31/2018 5:20,0.21,ft,A,12/31/2018 5:46
12/31/2018 5:15,0.21,ft,A,12/31/2018 5:46
12/31/2018 5:10,0.22,ft,A,12/31/2018 5:46
12/31/2018 5:05,0.21,ft,A,12/31/2018 5:46
12/31/2018 5:00,0.21,ft,A,12/31/2018 5:46
12/31/2018 4:55,0.21,ft,A,12/31/2018 5:46
12/31/2018 4:50,0.22,ft,A,12/31/2018 5:46
12/31/2018 4:45,0.22,ft,A,12/31/2018 5:46
12/31/2018 4:40,0.22,ft,A,12/31/2018 5:46
12/31/2018 4:35,0.22,ft,A,12/31/2018 5:46
12/31/2018 4:30,0.22,ft,A,12/31/2018 5:46
12/31/2018 4:25,0.22,ft,A,12/31/2018 4:46
12/31/2018 4:20,0.23,ft,A,12/31/2018 4:46
12/31/2018 4:15,0.23,ft,A,12/31/2018 4:46
12/31/2018 4:10,0.23,ft,A,12/31/2018 4:46
12/31/2018 4:05,0.23,ft,A,12/31/2018 4:46
12/31/2018 4:00,0.24,ft,A,12/31/2018 4:46
12/31/2018 3:55,0.24,ft,A,12/31/2018 4:46
12/31/2018 3:50,0.25,ft,A,12/31/2018 4:46
12/31/2018 3:45,0.25,ft,A,12/31/2018 4:46
12/31/2018 3:40,0.24,ft,A,12/31/2018 4:46
12/31/2018 3:35,0.23,ft,A,12/31/2018 4:46
12/31/2018 3:30,0.25,ft,A,12/31/2018 4:46
12/31/2018 3:25,0.24,ft,A,12/31/2018 3:46
12/31/2018 3:20,0.23,ft,A,12/31/2018 3:46
12/31/2018 3:15,0.22,ft,A,12/31/2018 3:46
12/31/2018 3:10,0.22,ft,A,12/31/2018 3:46
12/31/2018 3:05,0.22,ft,A,12/31/2018 3:46
12/31/2018 3:00,0.22,ft,A,12/31/2018 3:46
12/31/2018 2:55,0.23,ft,A,12/31/2018 3:46
12/31/2018 2:50,0.23,ft,A,12/31/2018 3:46
12/31/2018 2:45,0.24,ft,A,12/31/2018 3:46
12/31/2018 2:40,0.25,ft,A,12/31/2018 3:46
12/31/2018 2:35,0.26,ft,A,12/31/2018 3:46
12/31/2018 2:30,0.26,ft,A,12/31/2018 3:46
12/31/2018 2:25,0.27,ft,A,12/31/2018 2:46
12/31/2018 2:20,0.27,ft,A,12/31/2018 2:46
12/31/2018 2:15,0.28,ft,A,12/31/2018 2:46
12/31/2018 2:10,0.27,ft,A,12/31/2018 2:46
12/31/2018 2:05,0.26,ft,A,12/31/2018 2:46
12/31/2018 2:00,0.25,ft,A,12/31/2018 2:46
12/31/2018 1:55,0.25,ft,A,12/31/2018 2:46
12/31/2018 1:50,0.25,ft,A,12/31/2018 2:46
12/31/2018 1:45,0.25,ft,A,12/31/2018 2:46
12/31/2018 1:40,0.25,ft,A,12/31/2018 2:46
12/31/2018 1:35,0.25,ft,A,12/31/2018 2:46
12/31/2018 1:30,0.26,ft,A,12/31/2018 2:46
12/31/2018 1:25,0.28,ft,A,12/31/2018 1:46
12/31/2018 1:20,0.27,ft,A,12/31/2018 1:46
12/31/2018 1:15,0.28,ft,A,12/31/2018 1:46
12/31/2018 1:10,0.28,ft,A,12/31/2018 1:46
12/31/2018 1:05,0.28,ft,A,12/31/2018 1:46
12/31/2018 1:00,0.28,ft,A,12/31/2018 1:46
12/31/2018 0:55,0.28,ft,A,12/31/2018 1:46
12/31/2018 0:50,0.28,ft,A,12/31/2018 1:46
12/31/2018 0:45,0.28,ft,A,12/31/2018 1:46
12/31/2018 0:40,0.29,ft,A,12/31/2018 1:46
12/31/2018 0:35,0.3,ft,A,12/31/2018 1:46
12/31/2018 0:30,0.3,ft,A,12/31/2018 1:46
12/31/2018 0:25,0.3,ft,A,12/31/2018 0:46
12/31/2018 0:20,0.31,ft,A,12/31/2018 0:46
12/31/2018 0:15,0.33,ft,A,12/31/2018 0:46
12/31/2018 0:10,0.33,ft,A,12/31/2018 0:46
12/31/2018 0:05,0.33,ft,A,12/31/2018 0:46
12/31/2018 0:00,0.33,ft,A,12/31/2018 0:46
12/30/2018 23:55,0.32,ft,A,12/31/2018 0:46
12/30/2018 23:50,0.32,ft,A,12/31/2018 0:46
12/30/2018 23:45,0.32,ft,A,12/31/2018 0:46
12/30/2018 23:40,0.32,ft,A,12/31/2018 0:46
12/30/2018 23:35,0.31,ft,A,12/31/2018 0:46
12/30/2018 23:30,0.32,ft,A,12/31/2018 0:46
12/30/2018 23:25,0.33,ft,A,12/30/2018 23:46
12/30/2018 23:20,0.33,ft,A,12/30/2018 23:46
12/30/2018 23:15,0.34,ft,A,12/30/2018 23:46
12/30/2018 23:10,0.34,ft,A,12/30/2018 23:46
12/30/2018 23:05,0.34,ft,A,12/30/2018 23:46
12/30/2018 23:00,0.33,ft,A,12/30/2018 23:46
12/30/2018 22:55,0.34,ft,A,12/30/2018 23:46
12/30/2018 22:50,0.34,ft,A,12/30/2018 23:46
12/30/2018 22:45,0.33,ft,A,12/30/2018 23:46
12/30/2018 22:40,0.32,ft,A,12/30/2018 23:46
12/30/2018 22:35,0.33,ft,A,12/30/2018 23:46
12/30/2018 22:30,0.34,ft,A,12/30/2018 23:46
12/30/2018 22:25,0.33,ft,A,12/30/2018 22:46
12/30/2018 22:20,0.34,ft,A,12/30/2018 22:46
12/30/2018 22:15,0.34,ft,A,12/30/2018 22:46
12/30/2018 22:10,0.35,ft,A,12/30/2018 22:46
12/30/2018 22:05,0.36,ft,A,12/30/2018 22:46
12/30/2018 22:00,0.37,ft,A,12/30/2018 22:46
12/30/2018 21:55,0.35,ft,A,12/30/2018 22:46
12/30/2018 21:50,0.34,ft,A,12/30/2018 22:46
12/30/2018 21:45,0.35,ft,A,12/30/2018 22:46
12/30/2018 21:40,0.35,ft,A,12/30/2018 22:46
12/30/2018 21:35,0.34,ft,A,12/30/2018 22:46
12/30/2018 21:30,0.33,ft,A,12/30/2018 22:46
12/30/2018 21:25,0.33,ft,A,12/30/2018 21:46
12/30/2018 21:20,0.32,ft,A,12/30/2018 21:46
12/30/2018 21:15,0.33,ft,A,12/30/2018 21:46
12/30/2018 21:10,0.34,ft,A,12/30/2018 21:46
12/30/2018 21:05,0.34,ft,A,12/30/2018 21:46
12/30/2018 21:00,0.34,ft,A,12/30/2018 21:46
12/30/2018 20:55,0.35,ft,A,12/30/2018 21:46
12/30/2018 20:50,0.35,ft,A,12/30/2018 21:46
12/30/2018 20:45,0.36,ft,A,12/30/2018 21:46
12/30/2018 20:40,0.35,ft,A,12/30/2018 21:46
12/30/2018 20:35,0.36,ft,A,12/30/2018 21:46
12/30/2018 20:30,0.35,ft,A,12/30/2018 21:46
12/30/2018 20:25,0.35,ft,A,12/30/2018 20:46
12/30/2018 20:20,0.36,ft,A,12/30/2018 20:46
12/30/2018 20:15,0.36,ft,A,12/30/2018 20:46
12/30/2018 20:10,0.34,ft,A,12/30/2018 20:46
12/30/2018 20:05,0.34,ft,A,12/30/2018 20:46
12/30/2018 20:00,0.34,ft,A,12/30/2018 20:46
12/30/2018 19:55,0.34,ft,A,12/30/2018 20:46
12/30/2018 19:50,0.35,ft,A,12/30/2018 20:46
12/30/2018 19:45,0.35,ft,A,12/30/2018 20:46
12/30/2018 19:40,0.33,ft,A,12/30/2018 20:46
12/30/2018 19:35,0.33,ft,A,12/30/2018 20:46
12/30/2018 19:30,0.33,ft,A,12/30/2018 20:46
12/30/2018 19:25,0.32,ft,A,12/30/2018 19:46
12/30/2018 19:20,0.31,ft,A,12/30/2018 19:46
12/30/2018 19:15,0.32,ft,A,12/30/2018 19:46
12/30/2018 19:10,0.32,ft,A,12/30/2018 19:46
12/30/2018 19:05,0.31,ft,A,12/30/2018 19:46
12/30/2018 19:00,0.31,ft,A,12/30/2018 19:46
12/30/2018 18:55,0.33,ft,A,12/30/2018 19:46
12/30/2018 18:50,0.33,ft,A,12/30/2018 19:46
12/30/2018 18:45,0.34,ft,A,12/30/2018 19:46
12/30/2018 18:40,0.34,ft,A,12/30/2018 19:46
12/30/2018 18:35,0.34,ft,A,12/30/2018 19:46
12/30/2018 18:30,0.34,ft,A,12/30/2018 19:46
12/30/2018 18:25,0.34,ft,A,12/30/2018 18:46
